Timestamp,t_cycle,t_dos,t_inj,v_mat,v_sw,p_sw,p_max,f_clamp,n_good,n_cycle
2025-02-11 14:14:34,34.481,9.319,1.994,6.765,67.16,856.283,949.809,2678.852,1,25
2025-02-11 14:15:10,34.47,8.657,2.156,6.441,69.074,802.762,912.232,2716.05,1,26
2025-02-11 14:15:45,34.259,9.536,2.19,6.203,65.813,907.453,932.647,2684.159,1,27
2025-02-11 14:16:20,33.24,9.189,2.013,5.88,65.876,809.922,896.481,2683.745,1,28
2025-02-11 14:16:56,35.305,8.716,1.983,6.89,70.556,805.739,966.428,2714.67,1,29
2025-02-11 14:17:33,34.66,8.447,2.267,6.766,69.4,869.106,909.858,2715.96,1,30
2025-02-11 14:18:07,35.867,8.587,2.214,6.291,70.037,875.871,901.206,2734.189,1,31
2025-02-11 14:18:43,36.253,9.196,2.126,7.186,68.827,881.754,904.9,2715.16,1,32
2025-02-11 14:19:19,35.628,9.705,2.059,6.754,68.163,917.439,915.72,2718.038,1,33
2025-02-11 14:19:54,35.015,9.401,2.03,6.631,69.926,888.067,897.654,2702.443,1,34
2025-02-11 14:20:29,35.662,9.024,2.119,6.593,67.309,831.183,881.038,2669.752,1,35
2025-02-11 14:21:04,34.699,8.974,2.187,6.187,67.662,851.587,899.346,2680.077,1,36
2025-02-11 14:21:38,35.97,8.789,2.045,6.493,70.904,817.64,950.717,2712.85,1,37
2025-02-11 14:22:13,36.9,9.132,2.113,6.408,65.849,845.142,935.584,2692.417,1,38
2025-02-11 14:22:49,34.143,8.824,2.162,6.811,67.987,804.988,871.932,2730.298,1,39
2025-02-11 14:23:24,33.529,8.642,2.19,6.173,64.81,847.25,963.418,2706.011,1,40
2025-02-11 14:23:59,35.865,9.005,2.167,6.865,68.909,887.322,954.31,2715.138,1,41
2025-02-11 14:24:35,34.195,8.972,2.134,6.58,66.581,817.356,922.771,2674.315,0,42
2025-02-11 14:25:12,35.217,8.76,2.046,6.545,68.359,862.144,918.631,2688.188,1,43
2025-02-11 14:25:48,34.312,9.546,2.15,6.63,67.117,853.048,918.202,2675.888,1,44
2025-02-11 14:26:24,36.404,8.804,2.168,6.502,67.526,880.828,947.873,2721.662,1,45
2025-02-11 14:26:58,35.515,8.997,2.195,7.032,67.472,893.211,857.48,2705.631,1,46
2025-02-11 14:27:31,34.323,8.963,2.094,6.814,67.077,875.645,937.401,2708.506,1,47
2025-02-11 14:28:07,36.709,8.724,2.172,6.48,65.228,811.594,973.161,2737.02,1,48
2025-02-11 14:28:43,34.353,9.501,2.18,6.83,66.557,847.06,919.461,2709.135,1,49
2025-02-11 14:29:18,34.232,8.643,2.166,6.773,65.881,830.475,881.778,2720.321,1,50
2025-02-11 14:29:53,36.063,9.603,2.103,6.397,67.824,812.709,922.313,2689.23,1,51
2025-02-11 14:30:29,36.191,9.101,2.215,6.742,65.629,834.371,946.115,2681.075,1,52
2025-02-11 14:31:04,37.578,9.412,2.102,6.656,67.509,839.616,954.499,2718.076,1,53
2025-02-11 14:31:40,36.44,8.904,2.112,6.336,67.363,851.803,904.714,2689.207,1,54
2025-02-11 14:32:16,36.563,9.85,2.092,6.284,70.063,808.688,924.644,2734.173,1,55
2025-02-11 14:32:51,36.22,9.365,1.926,6.273,65.633,910.296,918.482,2692.961,1,56
2025-02-11 14:33:27,35.924,8.979,2.075,6.43,69.996,872.206,866.563,2713.573,1,57
2025-02-11 14:34:01,35.133,9.203,2.169,6.382,70.29,865.333,931.431,2693.044,1,58
2025-02-11 14:34:35,34.82,8.672,2.035,6.603,68.048,809.719,892.253,2671.796,1,59
2025-02-11 14:35:11,35.423,8.834,2.027,6.486,65.361,861.742,887.229,2704.836,1,60
2025-02-11 14:35:46,33.991,9.265,2.138,7.053,68.72,838.228,885.274,2696.929,1,61
2025-02-11 14:36:21,36.506,8.613,2.243,5.941,67.614,801.686,904.024,2717.48,1,62
2025-02-11 14:36:55,35.449,8.69,2.127,6.38,69.685,859.012,879.71,2710.795,1,63
2025-02-11 14:37:31,35.622,9.603,2.205,6.262,67.626,854.632,931.015,2674.099,1,64
2025-02-11 14:38:05,35.037,8.919,2.159,6.532,71.571,858.618,916.318,2705.015,1,65
2025-02-11 14:38:40,34.165,8.894,2.182,6.208,70.583,894.598,887.427,2695.309,1,66
2025-02-11 14:39:16,33.678,8.339,2.155,6.966,70.211,879.2,913.323,2700.815,1,67
2025-02-11 14:39:53,34.502,9.193,2.272,6.183,66.344,864.364,913.879,2678.587,1,68
2025-02-11 14:40:28,34.746,9.102,2.152,6.314,66.974,874.004,888.719,2711.353,1,69
2025-02-11 14:41:04,36.649,9.649,2.096,6.35,65.522,887.319,916.561,2721.079,1,70
2025-02-11 14:41:37,35.586,9.378,1.998,6.562,69.258,841.953,878.965,2685.966,1,71
2025-02-11 14:42:13,33.809,8.966,2.146,6.448,69.459,879.007,910.343,2690.482,1,72
2025-02-11 14:42:48,35.362,8.489,2.194,6.217,64.864,836.69,916.931,2728.411,1,73
2025-02-11 14:43:22,36.251,9.284,2.165,6.145,66.796,855.603,867.488,2686.381,1,74
2025-02-11 14:43:57,34.002,8.902,2.139,6.491,68.415,848.512,935.404,2704.979,1,75
2025-02-11 14:44:31,37.268,8.747,2.018,6.667,66.923,869.982,905.37,2702.208,1,76
2025-02-11 14:45:05,35.232,9.749,2.094,6.671,67.169,848.198,943.196,2685.472,1,77
2025-02-11 14:45:40,34.159,9.672,2.165,6.026,67.678,882.707,918.721,2706.718,1,78
2025-02-11 14:46:15,32.941,9.247,1.887,6.771,69.388,853.449,924.325,2682.543,1,79
2025-02-11 14:46:50,33.996,9.167,2.131,6.712,66.112,832.841,936.201,2733.221,1,80
2025-02-11 14:47:24,35.581,9.644,2.073,6.306,67.934,816.776,954.547,2700.746,1,81
2025-02-11 14:47:58,35.819,9.703,2.107,6.445,69.865,812.904,938.428,2688.588,1,82
2025-02-11 14:48:33,37.118,8.79,2.235,6.457,68.053,883.904,960.563,2721.277,1,83
2025-02-11 14:49:08,35.589,9.012,2.04,6.101,69.457,804.214,915.981,2709.443,1,84
2025-02-11 14:49:43,34.215,9.489,2.087,6.12,66.892,874.83,900.864,2673.676,1,85
2025-02-11 14:50:19,36.115,8.511,1.998,6.593,65.427,836.57,937.519,2734.552,1,86
2025-02-11 14:50:53,35.075,9.347,2.139,6.17,68.941,862.95,923.579,2681.774,1,87
2025-02-11 14:51:28,34.073,9.869,2.141,6.665,67.704,838.592,928.791,2707.632,1,88
2025-02-11 14:52:04,35.762,9.782,2.161,6.501,68.671,852.966,940.147,2676.622,1,89
2025-02-11 14:52:38,33.571,9.115,2.147,6.512,68.91,827.472,897.926,2715.556,1,90
2025-02-11 14:53:13,37.656,9.524,2.226,6.177,66.082,840.047,894.031,2698.881,1,91
2025-02-11 14:53:48,38.487,8.797,1.987,6.989,66.588,843.913,929.172,2715.972,1,92
2025-02-11 14:54:24,34.351,8.344,2.035,6.528,68.441,892.421,961.803,2735.59,1,93
2025-02-11 14:55:01,35.208,9.426,1.895,6.783,68.924,868.339,910.348,2706.636,1,94
2025-02-11 14:55:36,33.07,9.371,2.062,6.241,71.056,792.958,906.705,2709.76,1,95
2025-02-11 14:56:11,33.59,9.527,2.108,6.684,68.993,873.651,906.166,2719.148,1,96
2025-02-11 14:56:45,34.675,9.373,2.107,7.014,69.574,842.144,893.091,2755.671,1,97
2025-02-11 14:57:21,36.721,9.081,2.05,6.894,66.559,858.537,954.307,2699.051,1,98
2025-02-11 14:57:55,33.788,9.608,2.206,7.035,70.127,863.079,918.482,2706.464,1,99
2025-02-11 14:58:29,34.785,9.094,2.105,6.173,65.857,862.932,958.239,2711.94,1,100
2025-02-11 14:59:05,33.816,9.56,2.108,6.362,65.337,863.641,923.216,2681.755,1,101
2025-02-11 14:59:39,35.396,9.098,2.019,6.122,66.37,827.898,960.266,2709.336,1,102
2025-02-11 15:00:15,34.909,9.246,2.189,7.061,69.637,842.84,938.85,2668.274,1,103
2025-02-11 15:00:49,33.322,9.259,2.14,6.449,68.298,860.583,885.901,2684.248,1,104
2025-02-11 15:01:25,34.993,9.108,1.944,6.425,68.097,869.611,945.537,2705.371,1,105
2025-02-11 15:01:59,34.784,9.367,2.084,6.858,70.417,876.683,928.355,2694.346,1,106
2025-02-11 15:02:34,37.556,9.91,2.04,6.42,66.532,839.966,938.849,2707.561,1,107
2025-02-11 15:03:08,33.269,8.342,2.087,5.931,67.62,874.736,828.072,2690.024,1,108
2025-02-11 15:03:44,35.44,9.528,2.138,6.988,66.201,863.146,971.587,2700.172,1,109
2025-02-11 15:04:19,35.232,9.697,2.194,6.294,65.262,876.425,925.423,2720.663,1,110
2025-02-11 15:04:56,36.776,8.584,2.056,6.14,67.835,837.64,929.284,2724.752,1,111
2025-02-11 15:05:31,33.339,9.092,2.14,6.903,68.416,881.853,928.851,2713.815,1,112
2025-02-11 15:06:06,33.923,8.644,2.159,6.252,65.972,830.774,937.663,2705.393,1,113
2025-02-11 15:06:41,36.308,9.448,2.079,6.626,67.774,850.993,922.206,2696.41,1,114
2025-02-11 15:07:17,36.243,9.386,2.148,6.129,68.63,821.698,918.841,2691.182,1,115
2025-02-11 15:07:50,34.097,9.288,2.118,6.106,70.406,801.08,907.284,2695.228,1,116
2025-02-11 15:08:25,36.943,8.944,2.092,6.867,69.664,877.782,975.241,2666.503,1,117
2025-02-11 15:08:59,34.952,8.862,2.07,6.458,67.401,849.024,922.852,2695.374,1,118
2025-02-11 15:09:35,35.912,8.499,2.192,6.708,66.195,852.901,948.331,2697.51,1,119
2025-02-11 15:10:10,34.234,9.665,2.118,6.15,65.938,834.208,917.608,2748.277,1,120
2025-02-11 15:10:47,37.412,9.675,2.216,6.703,67.685,823.036,956.398,2696.574,1,121
2025-02-11 15:11:24,37.04,8.562,2.06,6.574,66.676,838.405,910.003,2692.5,1,122
2025-02-11 15:11:59,35.852,8.532,2.113,6.901,67.68,863.82,972.583,2719.029,1,123
2025-02-11 15:12:34,33.868,9.496,2.074,6.33,65.948,821.299,962.201,2700.732,1,124
2025-02-11 15:13:09,35.498,9.207,2.053,6.74,66.555,888.782,960.986,2709.668,1,125
2025-02-11 15:13:44,36.356,9.209,2.169,6.016,67.017,823.164,923.831,2683.477,1,126
2025-02-11 15:14:19,36.991,9.37,2.11,6.389,67.023,918.26,908.395,2684.424,1,127
2025-02-11 15:14:53,35.318,9.004,2.178,6.633,68.579,828.219,887.272,2692.993,1,128
2025-02-11 15:15:28,34.042,8.466,2.095,5.942,68.405,864.016,967.755,2691.711,1,129
2025-02-11 15:16:03,35.174,8.646,2.098,6.67,67.652,850.317,931.122,2687.763,1,130
2025-02-11 15:16:38,35.515,8.667,2.022,6.337,67.224,869.851,925.722,2683.286,1,131
2025-02-11 15:17:12,36.309,9.44,2.074,6.226,71.012,878.615,922.499,2698.902,1,132
2025-02-11 15:17:47,33.29,8.426,2.285,6.689,68.268,791.79,925.17,2658.575,1,133
2025-02-11 15:18:22,35.324,8.398,2.18,6.503,70.167,871.406,891.363,2705.098,1,134
2025-02-11 15:18:58,35.525,8.968,2.076,5.845,67.489,822.754,965.406,2691.198,1,135
2025-02-11 15:19:34,34.705,9.823,2.102,6.116,69.472,887.655,894.117,2718.617,1,136
2025-02-11 15:20:08,36.265,8.632,2.032,6.296,65.667,870.922,946.339,2734.478,1,137
2025-02-11 15:20:44,34.432,9.495,2.032,6.72,70.319,795.282,918.639,2672.882,1,138
2025-02-11 15:21:21,36.447,8.668,2.088,6.517,65.223,833.74,961.304,2642.922,1,139
2025-02-11 15:21:55,35.486,8.502,1.935,6.489,66.174,825.194,900.727,2679.67,1,140
2025-02-11 15:22:30,34.274,8.18,2.139,6.314,70.013,815.113,923.336,2717.979,1,141
2025-02-11 15:23:05,34.975,8.915,2.015,6.364,70.048,886.375,954.079,2719.646,1,142
2025-02-11 15:23:41,35.29,9.75,2.118,6.455,66.921,834.888,892.416,2687.266,1,143
2025-02-11 15:24:16,33.353,8.488,2.257,6.475,68.495,806.853,966.921,2726.227,1,144
2025-02-11 15:24:50,34.59,8.527,2.264,7.013,67.509,840.052,902.048,2664.257,1,145
2025-02-11 15:25:25,35.176,9.228,2.182,6.792,69.233,842.098,937.972,2716.263,1,146
2025-02-11 15:26:01,35.955,8.465,2.173,6.626,66.051,828.36,946.17,2705.289,1,147
2025-02-11 15:26:37,33.75,9.106,2.155,6.69,69.502,849.706,929.777,2702.743,1,148
2025-02-11 15:27:14,33.437,9.132,2.123,6.406,70.44,860.579,870.056,2737.812,1,149
2025-02-11 15:27:50,33.465,9.533,2.155,6.519,69.128,862.488,929.478,2670.249,1,150
