quality_check_id,timestamp,production_order_id,machine_erp_ref,product_ref,sample_size,defect_count,defect_type,severity,measured_weight_g,target_weight_g,dimension_deviation_mm,visual_result,comment
QC-0058,2025-02-10 23:21:00,OF-2025-0009,606,REF-CC-009,10,0,,none,119.5,120.0,-0.021,ok,Conforme
QC-0059,2025-02-10 23:51:00,OF-2025-0009,606,REF-CC-009,18,1,bubbles,minor,120.3,120.0,0.077,minor_defects,Presence de bubbles
QC-0060,2025-02-11 00:21:00,OF-2025-0009,606,REF-CC-009,18,0,,none,120.0,120.0,-0.071,ok,Conforme
QC-0061,2025-02-11 00:51:00,OF-2025-0009,606,REF-CC-009,9,0,,none,119.9,120.0,0.004,ok,
QC-0062,2025-02-11 01:21:00,OF-2025-0009,606,REF-CC-009,17,0,,none,120.2,120.0,0.002,ok,Conforme
QC-0063,2025-02-11 01:51:00,OF-2025-0009,606,REF-CC-009,8,0,,none,120.2,120.0,-0.038,ok,Conforme
QC-0064,2025-02-11 02:21:00,OF-2025-0009,606,REF-CC-009,8,0,,none,119.6,120.0,-0.009,ok,Conforme
QC-0065,2025-02-11 02:51:00,OF-2025-0009,606,REF-CC-009,8,0,,none,120.0,120.0,0.038,ok,
QC-0066,2025-02-11 03:21:00,OF-2025-0009,606,REF-CC-009,19,1,sink_mark,minor,120.3,120.0,0.077,minor_defects,Presence de sink_mark
QC-0067,2025-02-11 03:51:00,OF-2025-0009,606,REF-CC-009,16,0,,none,120.1,120.0,0.104,ok,Conforme
QC-0068,2025-02-11 04:21:00,OF-2025-0009,606,REF-CC-009,12,0,,none,120.4,120.0,0.046,ok,Conforme
QC-0069,2025-02-11 04:51:00,OF-2025-0009,606,REF-CC-009,20,0,,none,120.0,120.0,-0.015,ok,Conforme
QC-0070,2025-02-11 05:21:00,OF-2025-0009,606,REF-CC-009,19,0,,none,119.5,120.0,0.024,ok,Conforme
QC-0071,2025-02-11 07:03:00,OF-2025-0010,152,REF-BC-001,20,0,,none,12.7,12.5,-0.018,ok,Conforme
QC-0072,2025-02-11 07:49:00,OF-2025-0010,152,REF-BC-001,18,0,,none,12.7,12.5,-0.027,ok,Conforme
QC-0073,2025-02-11 08:35:00,OF-2025-0010,152,REF-BC-001,14,0,,none,12.7,12.5,0.028,ok,Conforme
QC-0074,2025-02-11 09:21:00,OF-2025-0010,152,REF-BC-001,16,0,,none,12.4,12.5,-0.008,ok,Conforme
QC-0075,2025-02-11 10:07:00,OF-2025-0010,152,REF-BC-001,12,0,,none,12.3,12.5,-0.003,ok,Conforme
QC-0076,2025-02-11 10:53:00,OF-2025-0010,152,REF-BC-001,20,2,"short_shot,warpage",minor,12.2,12.5,0.026,minor_defects,"Defauts multiples: short_shot, warpage"
QC-0077,2025-02-11 15:16:00,OF-2025-0011,152,REF-CF-002,18,0,,none,8.4,8.3,0.035,ok,Conforme
QC-0078,2025-02-11 16:11:00,OF-2025-0011,152,REF-CF-002,13,0,,none,8.2,8.3,-0.042,ok,
QC-0079,2025-02-11 17:06:00,OF-2025-0011,152,REF-CF-002,8,0,,none,8.0,8.3,0.021,ok,Conforme
QC-0080,2025-02-11 18:01:00,OF-2025-0011,152,REF-CF-002,10,0,,none,8.1,8.3,0.011,ok,Conforme
QC-0081,2025-02-11 23:00:00,OF-2025-0012,152,REF-BJ-007,15,0,,none,27.8,28.0,-0.089,ok,Conforme
QC-0082,2025-02-11 23:38:00,OF-2025-0012,152,REF-BJ-007,19,0,,none,28.2,28.0,0.047,ok,
QC-0083,2025-02-12 00:16:00,OF-2025-0012,152,REF-BJ-007,19,0,,none,27.6,28.0,0.012,ok,
QC-0084,2025-02-12 00:54:00,OF-2025-0012,152,REF-BJ-007,8,1,short_shot,minor,27.6,28.0,0.107,minor_defects,Presence de short_shot
QC-0085,2025-02-12 01:32:00,OF-2025-0012,152,REF-BJ-007,18,5,short_shot,moderate,28.1,28.0,-0.025,defective,Presence de short_shot
QC-0086,2025-02-12 02:10:00,OF-2025-0012,152,REF-BJ-007,9,3,short_shot,moderate,28.2,28.0,-0.043,defective,Presence de short_shot
QC-0087,2025-02-12 02:48:00,OF-2025-0012,152,REF-BJ-007,8,0,,none,28.1,28.0,0.042,ok,Conforme
QC-0088,2025-02-12 03:26:00,OF-2025-0012,152,REF-BJ-007,20,0,,none,28.0,28.0,0.007,ok,
QC-0089,2025-02-12 04:04:00,OF-2025-0012,152,REF-BJ-007,15,0,,none,28.2,28.0,0.013,ok,Conforme
QC-0090,2025-02-11 07:28:00,OF-2025-0013,1003,REF-CP-003,17,6,bubbles,critical,45.2,45.0,-0.061,defective,Presence de bubbles
QC-0091,2025-02-11 08:05:00,OF-2025-0013,1003,REF-CP-003,10,3,bubbles,moderate,45.6,45.0,0.018,defective,Presence de bubbles
QC-0092,2025-02-11 08:42:00,OF-2025-0013,1003,REF-CP-003,17,1,bubbles,minor,44.9,45.0,-0.044,minor_defects,Presence de bubbles
QC-0093,2025-02-11 09:19:00,OF-2025-0013,1003,REF-CP-003,15,0,,none,45.2,45.0,0.04,ok,
QC-0094,2025-02-11 09:56:00,OF-2025-0013,1003,REF-CP-003,15,0,,none,44.4,45.0,-0.021,ok,Conforme
QC-0095,2025-02-11 10:33:00,OF-2025-0013,1003,REF-CP-003,17,0,,none,44.3,45.0,0.023,ok,Conforme
QC-0096,2025-02-11 11:10:00,OF-2025-0013,1003,REF-CP-003,15,0,,none,44.8,45.0,0.001,ok,Conforme
QC-0097,2025-02-11 11:47:00,OF-2025-0013,1003,REF-CP-003,20,0,,none,44.8,45.0,0.065,ok,Conforme
QC-0098,2025-02-11 14:58:00,OF-2025-0014,1003,REF-SM-004,13,0,,none,84.9,85.0,0.02,ok,Conforme
QC-0099,2025-02-11 15:49:00,OF-2025-0014,1003,REF-SM-004,16,0,,none,84.9,85.0,0.03,ok,Conforme
QC-0100,2025-02-11 16:40:00,OF-2025-0014,1003,REF-SM-004,10,1,flash,minor,85.3,85.0,0.03,minor_defects,Presence de flash
QC-0101,2025-02-11 17:31:00,OF-2025-0014,1003,REF-SM-004,12,1,short_shot,minor,85.3,85.0,-0.059,minor_defects,Presence de short_shot
QC-0102,2025-02-11 18:22:00,OF-2025-0014,1003,REF-SM-004,8,1,short_shot,minor,85.1,85.0,0.01,minor_defects,Presence de short_shot
QC-0103,2025-02-11 19:13:00,OF-2025-0014,1003,REF-SM-004,9,0,,none,84.8,85.0,0.037,ok,
QC-0104,2025-02-11 20:04:00,OF-2025-0014,1003,REF-SM-004,15,2,"warpage,bubbles",minor,84.8,85.0,-0.003,minor_defects,"Defauts multiples: warpage, bubbles"
QC-0105,2025-02-11 23:20:00,OF-2025-0015,1003,REF-CR-008,12,0,,none,22.5,22.0,0.005,ok,Conforme
QC-0106,2025-02-12 00:05:00,OF-2025-0015,1003,REF-CR-008,9,1,bubbles,minor,21.9,22.0,0.033,minor_defects,Presence de bubbles
QC-0107,2025-02-12 00:50:00,OF-2025-0015,1003,REF-CR-008,11,0,,none,21.6,22.0,0.101,ok,Conforme
QC-0108,2025-02-12 01:35:00,OF-2025-0015,1003,REF-CR-008,10,0,,none,21.8,22.0,0.055,ok,Conforme
QC-0109,2025-02-12 02:20:00,OF-2025-0015,1003,REF-CR-008,20,0,,none,22.2,22.0,-0.012,ok,Conforme
QC-0110,2025-02-11 07:44:00,OF-2025-0016,606,REF-BV-005,16,0,,none,64.2,65.0,0.069,ok,Conforme
QC-0111,2025-02-11 08:32:00,OF-2025-0016,606,REF-BV-005,11,0,,none,64.9,65.0,-0.014,ok,
QC-0112,2025-02-11 09:20:00,OF-2025-0016,606,REF-BV-005,10,0,,none,64.7,65.0,-0.052,ok,Conforme
QC-0113,2025-02-11 10:08:00,OF-2025-0016,606,REF-BV-005,17,0,,none,65.3,65.0,-0.043,ok,Conforme
QC-0114,2025-02-11 10:56:00,OF-2025-0016,606,REF-BV-005,8,0,,none,64.7,65.0,0.016,ok,
QC-0115,2025-02-11 11:44:00,OF-2025-0016,606,REF-BV-005,19,0,,none,65.2,65.0,0.03,ok,Conforme
QC-0116,2025-02-11 12:32:00,OF-2025-0016,606,REF-BV-005,8,0,,none,64.9,65.0,-0.017,ok,Conforme
QC-0117,2025-02-11 15:34:00,OF-2025-0017,606,REF-PC-006,18,0,,none,52.3,52.0,-0.002,ok,Conforme
QC-0118,2025-02-11 16:23:00,OF-2025-0017,606,REF-PC-006,11,0,,none,52.1,52.0,-0.018,ok,Conforme
QC-0119,2025-02-11 17:12:00,OF-2025-0017,606,REF-PC-006,16,0,,none,51.7,52.0,0.02,ok,Conforme
QC-0120,2025-02-11 18:01:00,OF-2025-0017,606,REF-PC-006,16,0,,none,51.8,52.0,0.013,ok,Conforme
QC-0121,2025-02-11 18:50:00,OF-2025-0017,606,REF-PC-006,11,0,,none,51.9,52.0,0.036,ok,Conforme
QC-0122,2025-02-11 19:39:00,OF-2025-0017,606,REF-PC-006,11,0,,none,51.6,52.0,0.045,ok,Conforme
QC-0123,2025-02-11 23:47:00,OF-2025-0018,606,REF-CC-009,11,0,,none,120.0,120.0,0.025,ok,Conforme
QC-0124,2025-02-12 00:45:00,OF-2025-0018,606,REF-CC-009,16,0,,none,120.0,120.0,0.086,ok,Conforme
QC-0125,2025-02-12 01:43:00,OF-2025-0018,606,REF-CC-009,20,1,sink_mark,minor,120.1,120.0,-0.002,minor_defects,Presence de sink_mark
QC-0126,2025-02-12 02:41:00,OF-2025-0018,606,REF-CC-009,12,0,,none,120.4,120.0,-0.012,ok,Conforme
QC-0127,2025-02-12 03:39:00,OF-2025-0018,606,REF-CC-009,18,1,sink_mark,minor,120.5,120.0,-0.081,minor_defects,Presence de sink_mark
QC-0128,2025-02-12 04:37:00,OF-2025-0018,606,REF-CC-009,18,1,short_shot,minor,120.0,120.0,0.028,minor_defects,Presence de short_shot
QC-0129,2025-02-12 05:35:00,OF-2025-0018,606,REF-CC-009,14,0,,none,119.4,120.0,-0.058,ok,Conforme
QC-0130,2025-02-12 07:00:00,OF-2025-0019,152,REF-BC-001,15,1,bubbles,minor,12.7,12.5,0.006,minor_defects,Presence de bubbles
QC-0131,2025-02-12 07:46:00,OF-2025-0019,152,REF-BC-001,17,0,,none,12.0,12.5,0.068,ok,
QC-0132,2025-02-12 08:32:00,OF-2025-0019,152,REF-BC-001,16,0,,none,12.6,12.5,0.048,ok,Conforme
QC-0133,2025-02-12 09:18:00,OF-2025-0019,152,REF-BC-001,16,0,,none,13.0,12.5,-0.042,ok,
QC-0134,2025-02-12 10:04:00,OF-2025-0019,152,REF-BC-001,11,0,,none,12.6,12.5,0.041,ok,Conforme
QC-0135,2025-02-12 10:50:00,OF-2025-0019,152,REF-BC-001,18,1,sink_mark,minor,12.5,12.5,-0.03,minor_defects,Presence de sink_mark
QC-0136,2025-02-12 15:13:00,OF-2025-0020,152,REF-CF-002,18,5,"flash,short_shot,sink_mark",moderate,8.0,8.3,-0.003,defective,"Defauts multiples: flash, short_shot, sink_mark"
QC-0137,2025-02-12 15:57:00,OF-2025-0020,152,REF-CF-002,12,0,,none,7.9,8.3,0.046,ok,
QC-0138,2025-02-12 16:41:00,OF-2025-0020,152,REF-CF-002,16,1,short_shot,minor,8.3,8.3,0.036,minor_defects,Presence de short_shot
QC-0139,2025-02-12 17:25:00,OF-2025-0020,152,REF-CF-002,14,0,,none,7.8,8.3,0.08,ok,
QC-0140,2025-02-12 18:09:00,OF-2025-0020,152,REF-CF-002,13,0,,none,8.2,8.3,0.041,ok,
QC-0141,2025-02-12 18:53:00,OF-2025-0020,152,REF-CF-002,19,1,bubbles,minor,8.1,8.3,0.025,minor_defects,Presence de bubbles
QC-0142,2025-02-12 23:15:00,OF-2025-0021,152,REF-BJ-007,9,0,,none,27.8,28.0,0.09,ok,Conforme
QC-0143,2025-02-13 00:07:00,OF-2025-0021,152,REF-BJ-007,11,0,,none,27.7,28.0,-0.001,ok,
QC-0144,2025-02-13 00:59:00,OF-2025-0021,152,REF-BJ-007,12,0,,none,27.8,28.0,0.071,ok,Conforme
QC-0145,2025-02-13 01:51:00,OF-2025-0021,152,REF-BJ-007,9,0,,none,28.2,28.0,-0.077,ok,
QC-0146,2025-02-13 02:43:00,OF-2025-0021,152,REF-BJ-007,8,0,,none,27.6,28.0,-0.019,ok,
QC-0147,2025-02-13 03:35:00,OF-2025-0021,152,REF-BJ-007,17,0,,none,28.4,28.0,-0.039,ok,
QC-0148,2025-02-12 07:16:00,OF-2025-0022,1003,REF-GP-010,17,0,,none,38.0,38.0,-0.02,ok,Conforme
QC-0149,2025-02-12 07:48:00,OF-2025-0022,1003,REF-GP-010,18,0,,none,38.3,38.0,-0.01,ok,
QC-0150,2025-02-12 08:20:00,OF-2025-0022,1003,REF-GP-010,20,0,,none,38.2,38.0,-0.023,ok,
QC-0151,2025-02-12 08:52:00,OF-2025-0022,1003,REF-GP-010,16,0,,none,38.4,38.0,0.008,ok,Conforme
QC-0152,2025-02-12 09:24:00,OF-2025-0022,1003,REF-GP-010,13,0,,none,38.2,38.0,0.009,ok,Conforme
QC-0153,2025-02-12 09:56:00,OF-2025-0022,1003,REF-GP-010,20,0,,none,38.1,38.0,0.002,ok,Conforme
QC-0154,2025-02-12 10:28:00,OF-2025-0022,1003,REF-GP-010,14,0,,none,37.9,38.0,0.051,ok,
QC-0155,2025-02-12 11:00:00,OF-2025-0022,1003,REF-GP-010,17,0,,none,38.4,38.0,-0.017,ok,Conforme
QC-0156,2025-02-12 11:32:00,OF-2025-0022,1003,REF-GP-010,17,1,bubbles,minor,38.4,38.0,0.013,minor_defects,Presence de bubbles
QC-0157,2025-02-12 15:15:00,OF-2025-0023,1003,REF-SM-004,12,0,,none,84.9,85.0,0.054,ok,Conforme
QC-0158,2025-02-12 15:52:00,OF-2025-0023,1003,REF-SM-004,11,0,,none,84.8,85.0,0.031,ok,
QC-0159,2025-02-12 16:29:00,OF-2025-0023,1003,REF-SM-004,18,1,bubbles,minor,84.8,85.0,0.045,minor_defects,Presence de bubbles
QC-0160,2025-02-12 17:06:00,OF-2025-0023,1003,REF-SM-004,14,0,,none,85.0,85.0,-0.083,ok,Conforme
QC-0161,2025-02-12 17:43:00,OF-2025-0023,1003,REF-SM-004,20,0,,none,84.8,85.0,0.005,ok,
QC-0162,2025-02-12 18:20:00,OF-2025-0023,1003,REF-SM-004,10,1,sink_mark,minor,85.1,85.0,-0.002,minor_defects,Presence de sink_mark
QC-0163,2025-02-12 18:57:00,OF-2025-0023,1003,REF-SM-004,16,1,flash,minor,85.0,85.0,-0.052,minor_defects,Presence de flash
QC-0164,2025-02-12 19:34:00,OF-2025-0023,1003,REF-SM-004,19,0,,none,84.5,85.0,0.014,ok,Conforme
QC-0165,2025-02-12 20:11:00,OF-2025-0023,1003,REF-SM-004,16,0,,none,84.9,85.0,-0.038,ok,Conforme
QC-0166,2025-02-12 23:11:00,OF-2025-0024,1003,REF-CR-008,19,0,,none,21.2,22.0,0.091,ok,Conforme
QC-0167,2025-02-13 00:07:00,OF-2025-0024,1003,REF-CR-008,20,1,short_shot,minor,21.2,22.0,-0.045,minor_defects,Presence de short_shot
QC-0168,2025-02-13 01:03:00,OF-2025-0024,1003,REF-CR-008,19,0,,none,22.1,22.0,0.069,ok,
QC-0169,2025-02-13 01:59:00,OF-2025-0024,1003,REF-CR-008,16,0,,none,21.8,22.0,-0.106,ok,Conforme
QC-0170,2025-02-12 07:33:00,OF-2025-0025,606,REF-BV-005,19,0,,none,65.5,65.0,-0.053,ok,Conforme
QC-0171,2025-02-12 08:07:00,OF-2025-0025,606,REF-BV-005,17,0,,none,65.1,65.0,-0.135,ok,Conforme
QC-0172,2025-02-12 08:41:00,OF-2025-0025,606,REF-BV-005,15,0,,none,65.0,65.0,0.01,ok,
QC-0173,2025-02-12 09:15:00,OF-2025-0025,606,REF-BV-005,14,0,,none,64.7,65.0,0.023,ok,Conforme
QC-0174,2025-02-12 09:49:00,OF-2025-0025,606,REF-BV-005,13,1,sink_mark,minor,65.3,65.0,-0.04,minor_defects,Presence de sink_mark
QC-0175,2025-02-12 10:23:00,OF-2025-0025,606,REF-BV-005,12,0,,none,64.5,65.0,0.039,ok,
QC-0176,2025-02-12 10:57:00,OF-2025-0025,606,REF-BV-005,17,0,,none,64.8,65.0,0.08,ok,Conforme
QC-0177,2025-02-12 11:31:00,OF-2025-0025,606,REF-BV-005,16,0,,none,65.4,65.0,0.044,ok,
QC-0178,2025-02-12 12:05:00,OF-2025-0025,606,REF-BV-005,9,0,,none,65.2,65.0,0.046,ok,Conforme
QC-0179,2025-02-12 12:39:00,OF-2025-0025,606,REF-BV-005,19,0,,none,65.0,65.0,0.09,ok,Conforme
QC-0180,2025-02-12 15:34:00,OF-2025-0026,606,REF-PC-006,12,0,,none,51.9,52.0,0.04,ok,Conforme
QC-0181,2025-02-12 16:25:00,OF-2025-0026,606,REF-PC-006,8,0,,none,51.9,52.0,0.01,ok,Conforme
QC-0182,2025-02-12 17:16:00,OF-2025-0026,606,REF-PC-006,18,0,,none,51.9,52.0,0.002,ok,Conforme
QC-0183,2025-02-12 18:07:00,OF-2025-0026,606,REF-PC-006,12,0,,none,52.2,52.0,-0.015,ok,Conforme
QC-0184,2025-02-12 18:58:00,OF-2025-0026,606,REF-PC-006,11,0,,none,51.7,52.0,0.027,ok,
QC-0185,2025-02-12 22:53:00,OF-2025-0027,606,REF-CC-009,12,0,,none,120.2,120.0,0.042,ok,
QC-0186,2025-02-12 23:43:00,OF-2025-0027,606,REF-CC-009,19,1,short_shot,minor,119.9,120.0,-0.078,minor_defects,Presence de short_shot
QC-0187,2025-02-13 00:33:00,OF-2025-0027,606,REF-CC-009,14,0,,none,119.6,120.0,-0.009,ok,
QC-0188,2025-02-13 01:23:00,OF-2025-0027,606,REF-CC-009,14,0,,none,120.1,120.0,-0.074,ok,Conforme
QC-0189,2025-02-13 02:13:00,OF-2025-0027,606,REF-CC-009,20,1,sink_mark,minor,119.8,120.0,0.053,minor_defects,Presence de sink_mark
QC-0190,2025-02-13 03:03:00,OF-2025-0027,606,REF-CC-009,14,0,,none,119.8,120.0,-0.052,ok,Conforme
QC-0191,2025-02-13 03:53:00,OF-2025-0027,606,REF-CC-009,9,0,,none,120.5,120.0,-0.02,ok,Conforme
QC-0192,2025-02-13 04:43:00,OF-2025-0027,606,REF-CC-009,14,0,,none,119.9,120.0,0.024,ok,
QC-0193,2025-02-13 06:58:00,OF-2025-0028,152,REF-BC-001,13,0,,none,12.7,12.5,0.051,ok,Conforme
QC-0194,2025-02-13 07:36:00,OF-2025-0028,152,REF-BC-001,14,0,,none,12.6,12.5,0.08,ok,Conforme
QC-0195,2025-02-13 08:14:00,OF-2025-0028,152,REF-BC-001,19,1,flash,minor,12.6,12.5,-0.061,minor_defects,Presence de flash
QC-0196,2025-02-13 08:52:00,OF-2025-0028,152,REF-BC-001,15,0,,none,12.3,12.5,-0.089,ok,Conforme
QC-0197,2025-02-13 09:30:00,OF-2025-0028,152,REF-BC-001,14,1,sink_mark,minor,12.7,12.5,-0.138,minor_defects,Presence de sink_mark
QC-0198,2025-02-13 10:08:00,OF-2025-0028,152,REF-BC-001,17,0,,none,11.7,12.5,-0.026,ok,Conforme
QC-0199,2025-02-13 10:46:00,OF-2025-0028,152,REF-BC-001,14,0,,none,12.6,12.5,-0.015,ok,Conforme
QC-0200,2025-02-13 15:50:00,OF-2025-0029,152,REF-CF-002,13,1,flash,minor,8.4,8.3,-0.014,minor_defects,Presence de flash
QC-0201,2025-02-13 16:42:00,OF-2025-0029,152,REF-CF-002,19,0,,none,8.2,8.3,-0.002,ok,
QC-0202,2025-02-13 17:34:00,OF-2025-0029,152,REF-CF-002,18,1,short_shot,minor,8.1,8.3,-0.048,minor_defects,Presence de short_shot
